URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://mos.esante.gouv.fr/NOS/JDV_J159-MethodPainSeverity-ENS/FHIR/JDV-J159-MethodPainSeverity-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.614",JDV_J159_MethodPainSeverity_ENS,,"JDV pour la méthode de la mesure du niveau de douleur",,"Other"
https://mos.esante.gouv.fr/NOS/JDV_J16-ActeSpecifique-ROR/FHIR/JDV-J16-ActeSpecifique-ROR,20260629120000,active,"1.2.250.1.213.3.4.4",JDV_J16_ActeSpecifique_ROR,,"Acte spécifique - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J161-Lateralite-CISIS/FHIR/JDV-J161-Lateralite-CISIS,20230630120000,active,"1.2.250.1.213.1.1.5.616",JDV_J161_Lateralite_CISIS,,"JDV pour spécifier la latéralité",,"SCT"
https://mos.esante.gouv.fr/NOS/JDV_J162-ESPIC-RASS/FHIR/JDV-J162-ESPIC-RASS,20210528120000,active,"1.2.250.1.213.1.6.1.226",JDV_J162_ESPIC_RASS,,"Etablissement de santé privée d'intérêt collectif dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J163-GlucoseUnits-ENS/FHIR/JDV-J163-GlucoseUnits-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.639",JDV_J163_GlucoseUnits_ENS,,"Liste fermée des unités utilisables pour la mesure du glucose avec le profil ENS_ObservationGlucose",,"UCUM"
https://mos.esante.gouv.fr/NOS/JDV_J164-GlucoseNumberOfDays-ENS/FHIR/JDV-J164-GlucoseNumberOfDays-ENS,20250728120000,active,"1.2.250.1.213.1.1.5.640",JDV_J164_GlucoseNumberOfDays_ENS,,"Liste fermée des codes utilisables pour la mesure du taux de glucose interstitiel et de l'index de gestion de glycémie (IGG) avec le profil ENS_ObservationGlucose",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J165-TypeCreneau-SAS/FHIR/JDV-J165-TypeCreneau-SAS,20240726120000,active,"1.2.250.1.213.3.4.10",JDV_J165_TypeCreneau_SAS,,"Type de créneaux de soins définis par un professionnel de santé ou son délégataire dans son logiciel de prise de RDV selon la visibilité associée",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J166-Profession-EPARS/FHIR/JDV-J166-Profession-EPARS,20250131120000,active,"1.2.250.1.213.1.6.1.227",JDV_J166_Profession_EPARS,,"Profession pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J167-DepartementOM-EPARS/FHIR/JDV-J167-DepartementOM-EPARS,20240126120000,retired,"1.2.250.1.213.1.6.1.228",JDV_J167_DepartementOM_EPARS,,"Département pour saisie dans EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J168-Pays-EPARS/FHIR/JDV-J168-Pays-EPARS,20240126120000,retired,"1.2.250.1.213.1.6.1.229",JDV_J168_Pays_EPARS,,"Pays pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J169-MotifFinActivite-EPARS/FHIR/JDV-J169-MotifFinActivite-EPARS,20210625120000,active,"1.2.250.1.213.1.6.1.230",JDV_J169_MotifFinActivite_EPARS,,"Motifs de fin d'activités pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J17-ActiviteOperationnelle-ROR/FHIR/JDV-J17-ActiviteOperationnelle-ROR,20260629120000,active,"1.2.250.1.213.3.4.5",JDV_J17_ActiviteOperationnelle_ROR,,"Activité Operationnelle - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J170-AutoriteEnregistrement-EPARS/FHIR/JDV-J170-AutoriteEnregistrement-EPARS,20250131120000,active,"1.2.250.1.213.1.6.1.231",JDV_J170_AutoriteEnregistrement_EPARS,,"Liste des autorités d'enregistrement pour EPARS","ConceptMap/ASS-A29-Departement-AE","Internal"
https://mos.esante.gouv.fr/NOS/JDV_J171-TypeAutorisation-EPARS/FHIR/JDV-J171-TypeAutorisation-EPARS,20250523120000,active,"1.2.250.1.213.1.6.1.232",JDV_J171_TypeAutorisation_EPARS,,"Types d'autorisation d'exercice pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J172-SecteurActivite-EPARS/FHIR/JDV-J172-SecteurActivite-EPARS,20260223120000,active,"1.2.250.1.213.1.6.1.233",JDV_J172_SecteurActivite_EPARS,,"Secteur d'activité pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J173-FinessStatutJuridique-EPARS/FHIR/JDV-J173-FinessStatutJuridique-EPARS,20210625120000,active,"1.2.250.1.213.1.6.1.234",JDV_J173_FinessStatutJuridique_EPARS,,"Statut juridique FINESS dans EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J176-SituationVieQuotidienne-MDPH/FHIR/JDV-J176-SituationVieQuotidienne-MDPH,20210924120000,active,"1.2.250.1.213.3.4.11",JDV_J176_SituationVieQuotidienne_MDPH,,"Caractérise la situation de vie de la personne : vit seule ou avec d'autres",,"Internal"
